[    1232ms] [LOG] JQMIGRATE: Migrate is installed, version 3.0.0 @ https://crm.anhtester.com/assets/plugins/jquery/jquery-migrate.min.js?v=3.1.6:1
[    5462ms] [LOG] JQMIGRATE: Migrate is installed, version 3.0.0 @ https://crm.anhtester.com/assets/plugins/jquery/jquery-migrate.min.js?v=3.1.6:1
[    9480ms] [LOG] JQMIGRATE: Migrate is installed, version 3.0.0 @ https://crm.anhtester.com/assets/plugins/jquery/jquery-migrate.min.js?v=3.1.6:1
[   11582ms] [LOG] JQMIGRATE: Migrate is installed, version 3.0.0 @ https://crm.anhtester.com/assets/plugins/jquery/jquery-migrate.min.js?v=3.1.6:1
[   13389ms] [LOG] JQMIGRATE: Migrate is installed, version 3.0.0 @ https://crm.anhtester.com/assets/plugins/jquery/jquery-migrate.min.js?v=3.1.6:1
[   15191ms] [LOG] JQMIGRATE: Migrate is installed, version 3.0.0 @ https://crm.anhtester.com/assets/plugins/jquery/jquery-migrate.min.js?v=3.1.6:1
[   19221ms] [LOG] JQMIGRATE: Migrate is installed, version 3.0.0 @ https://crm.anhtester.com/assets/plugins/jquery/jquery-migrate.min.js?v=3.1.6:1
[   20350ms] [LOG] JQMIGRATE: Migrate is installed, version 3.0.0 @ https://crm.anhtester.com/assets/plugins/jquery/jquery-migrate.min.js?v=3.1.6:1
[   21992ms] [LOG] JQMIGRATE: Migrate is installed, version 3.0.0 @ https://crm.anhtester.com/assets/plugins/jquery/jquery-migrate.min.js?v=3.1.6:1
[   22948ms] [LOG] JQMIGRATE: Migrate is installed, version 3.0.0 @ https://crm.anhtester.com/assets/plugins/jquery/jquery-migrate.min.js?v=3.1.6:1
[   38863ms] [LOG] JQMIGRATE: Migrate is installed, version 3.0.0 @ https://crm.anhtester.com/assets/plugins/jquery/jquery-migrate.min.js?v=3.1.6:1
